field_id,look,crop,last_acquisition,harvest,lead_days
Germany_DUP3_farm1_field64_rapeseed_2016,1,rapeseed,2015-11-14,2016-07-30,259
Germany_DUP3_farm2_field104_wheat_2021,1,wheat,2021-06-05,2021-09-04,91
Germany_DUP3_farm2_field112_wheat_2021,1,wheat,2021-06-05,2021-07-27,52
Germany_DUP3_farm2_field147_wheat_2018,1,wheat,2018-04-25,2018-07-24,90
Germany_DUP3_farm2_field151_wheat_2018,1,wheat,2018-05-10,2018-08-02,84
Germany_DUP3_farm2_field157_wheat_2021,1,wheat,2021-05-31,2021-08-20,81
Germany_DUP3_farm2_field159_wheat_2019,1,wheat,2019-05-15,2019-07-30,76
Germany_DUP3_farm2_field178_rapeseed_2017,1,rapeseed,2016-10-02,2017-08-06,308
Germany_DUP3_farm2_field179_rapeseed_2017,1,rapeseed,2016-11-01,2017-08-04,276
Germany_DUP3_farm2_field194_wheat_2017,1,wheat,2017-05-30,2017-07-31,62
Germany_DUP3_farm2_field197_rapeseed_2017,1,rapeseed,2016-12-08,2017-08-03,238
Germany_DUP3_farm2_field202_wheat_2022,1,wheat,2022-05-14,2022-08-11,89
Germany_DUP3_farm2_field208_wheat_2022,1,wheat,2022-06-03,2022-07-28,55
Germany_DUP3_farm2_field209_wheat_2022,1,wheat,2022-05-14,2022-08-09,87
Germany_DUP3_farm2_field219_wheat_2022,1,wheat,2022-05-31,2022-08-11,72
Germany_DUP3_farm2_field79_wheat_2019,1,wheat,2019-06-01,2019-08-15,75
Germany_DUP3_farm2_field86_wheat_2018,1,wheat,2018-05-10,2018-07-25,76
Germany_DUP3_farm2_field97_wheat_2021,1,wheat,2021-05-31,2021-08-25,86
Germany_DUP3_farm2_field98_wheat_2016,1,wheat,2016-05-15,2016-08-07,84
Germany_DUP3_farm3_field225_rapeseed_2019,1,rapeseed,2019-03-23,2019-07-17,116
Germany_DUP3_farm3_field235_wheat_2016,1,wheat,2016-05-12,2016-07-22,71
Germany_DUP3_farm3_field239_wheat_2017,1,wheat,2017-04-27,2017-08-06,101
Germany_DUP3_farm4_field242_rapeseed_2018,1,rapeseed,2017-11-03,2018-07-05,244
Germany_DUP3_farm4_field243_rapeseed_2018,1,rapeseed,2017-11-08,2018-07-04,238
Germany_DUP3_farm4_field248_rapeseed_2020,1,rapeseed,2019-09-24,2020-07-14,294
Germany_DUP3_farm4_field260_rapeseed_2018,1,rapeseed,2017-10-29,2018-07-04,248
Germany_DUP3_farm5_field267_rapeseed_2020,1,rapeseed,2020-04-06,2020-07-30,115
Germany_DUP3_farm5_field269_rapeseed_2017,1,rapeseed,2017-04-17,2017-08-02,107
Germany_DUP3_farm6_field285_rapeseed_2020,1,rapeseed,2019-11-03,2020-07-18,258
Germany_DUP3_farm6_field289_wheat_2021,1,wheat,2021-05-09,2021-07-19,71
Germany_DUP3_farm6_field290_rapeseed_2021,1,rapeseed,2020-11-07,2021-07-20,255
Germany_DUP3_farm6_field293_rapeseed_2016,1,rapeseed,2015-11-27,2016-07-21,237
Uruguay_DUP4_farm10_field293_soybean_2019,1,soybean,2019-01-04,2019-04-18,104
Uruguay_DUP4_farm10_field294_soybean_2019,1,soybean,2019-01-04,2019-04-18,104
Uruguay_DUP4_farm10_field295_soybean_2019,1,soybean,2019-01-04,2019-05-13,129
Uruguay_DUP4_farm10_field304_soybean_2019,1,soybean,2019-01-04,2019-04-24,110
Uruguay_DUP4_farm10_field316_soybean_2019,1,soybean,2019-01-04,2019-05-13,129
Uruguay_DUP4_farm10_field321_soybean_2019,1,soybean,2019-01-04,2019-04-15,101
Uruguay_DUP4_farm10_field325_soybean_2019,1,soybean,2019-01-04,2019-05-04,120
Uruguay_DUP4_farm10_field340_soybean_2021,1,soybean,2021-01-03,2021-05-31,148
Uruguay_DUP4_farm10_field344_soybean_2021,1,soybean,2021-01-03,2021-04-07,94
Uruguay_DUP4_farm10_field347_soybean_2019,1,soybean,2019-01-04,2019-04-29,115
Uruguay_DUP4_farm10_field362_soybean_2019,1,soybean,2019-01-04,2019-04-14,100
Uruguay_DUP4_farm10_field366_soybean_2018,1,soybean,2017-12-25,2018-04-27,123
Uruguay_DUP4_farm10_field367_soybean_2019,1,soybean,2019-01-04,2019-05-07,123
Uruguay_DUP4_farm10_field370_soybean_2018,1,soybean,2017-12-25,2018-05-20,146
Uruguay_DUP4_farm10_field373_soybean_2018,1,soybean,2017-12-25,2018-04-26,122
Uruguay_DUP4_farm10_field376_soybean_2018,1,soybean,2017-12-25,2018-05-15,141
Uruguay_DUP4_farm10_field377_soybean_2019,1,soybean,2019-01-04,2019-05-31,147
Uruguay_DUP4_farm10_field422_soybean_2018,1,soybean,2017-12-25,2018-04-14,110
Uruguay_DUP4_farm10_field427_soybean_2018,1,soybean,2017-12-25,2018-05-21,147
Uruguay_DUP4_farm10_field449_soybean_2018,1,soybean,2017-12-25,2018-04-18,114
Uruguay_DUP4_farm10_field466_soybean_2018,1,soybean,2017-12-25,2018-04-16,112
Uruguay_DUP4_farm10_field475_soybean_2018,1,soybean,2017-12-25,2018-04-27,123
Uruguay_DUP4_farm10_field476_soybean_2018,1,soybean,2017-12-25,2018-05-16,142
Uruguay_DUP4_farm10_field481_soybean_2018,1,soybean,2017-12-25,2018-05-22,148
Uruguay_DUP4_farm10_field495_soybean_2022,1,soybean,2021-12-29,2022-05-02,124
Uruguay_DUP4_farm10_field516_soybean_2022,1,soybean,2021-12-31,2022-05-15,135
Uruguay_DUP4_farm10_field520_soybean_2022,1,soybean,2021-12-31,2022-05-11,131
Uruguay_DUP4_farm10_field522_soybean_2022,1,soybean,2021-12-31,2022-05-06,126
Uruguay_DUP4_farm10_field527_soybean_2022,1,soybean,2022-01-03,2022-05-07,124
Uruguay_DUP4_farm10_field529_soybean_2022,1,soybean,2022-01-03,2022-05-24,141
Uruguay_DUP4_farm10_field531_soybean_2022,1,soybean,2022-01-03,2022-05-22,139
Uruguay_DUP4_farm10_field543_soybean_2022,1,soybean,2021-12-29,2022-05-03,125
Uruguay_DUP4_farm10_field547_soybean_2022,1,soybean,2021-12-29,2022-05-18,140
Uruguay_DUP4_farm10_field556_soybean_2022,1,soybean,2021-12-31,2022-05-09,129
Uruguay_DUP4_farm10_field565_soybean_2019,1,soybean,2019-01-04,2019-04-12,98
Uruguay_DUP4_farm10_field571_soybean_2019,1,soybean,2019-01-06,2019-05-08,122
Uruguay_DUP4_farm2_field15_soybean_2021,1,soybean,2021-01-03,2021-05-11,128
Uruguay_DUP4_farm2_field17_soybean_2021,1,soybean,2021-01-03,2021-05-15,132
Uruguay_DUP4_farm2_field25_soybean_2021,1,soybean,2021-01-03,2021-05-08,125
Uruguay_DUP4_farm2_field34_soybean_2018,1,soybean,2018-01-04,2018-05-20,136
Uruguay_DUP4_farm2_field46_soybean_2018,1,soybean,2018-01-04,2018-05-25,141
Uruguay_DUP4_farm2_field7_soybean_2019,1,soybean,2019-01-04,2019-05-14,130
Uruguay_DUP4_farm3_field60_soybean_2019,1,soybean,2019-01-01,2019-04-05,94
Uruguay_DUP4_farm3_field61_soybean_2021,1,soybean,2020-12-31,2021-05-10,130
Uruguay_DUP4_farm3_field62_soybean_2021,1,soybean,2020-12-31,2021-05-09,129
Uruguay_DUP4_farm3_field68_soybean_2019,1,soybean,2019-01-06,2019-04-15,99
Uruguay_DUP4_farm3_field72_soybean_2019,1,soybean,2019-01-06,2019-04-22,106
Uruguay_DUP4_farm4_field100_soybean_2021,1,soybean,2021-01-05,2021-04-18,103
Uruguay_DUP4_farm4_field105_soybean_2018,1,soybean,2018-01-04,2018-04-10,96
Uruguay_DUP4_farm4_field109_soybean_2018,1,soybean,2018-01-04,2018-05-24,140
Uruguay_DUP4_farm4_field125_soybean_2018,1,soybean,2018-01-04,2018-04-18,104
Uruguay_DUP4_farm4_field142_soybean_2018,1,soybean,2018-01-04,2018-05-15,131
Uruguay_DUP4_farm4_field154_soybean_2022,1,soybean,2022-01-05,2022-05-11,126
Uruguay_DUP4_farm4_field156_soybean_2022,1,soybean,2022-01-05,2022-05-15,130
Uruguay_DUP4_farm4_field158_soybean_2019,1,soybean,2019-01-06,2019-05-07,121
Uruguay_DUP4_farm4_field160_soybean_2019,1,soybean,2019-01-06,2019-05-03,117
Uruguay_DUP4_farm4_field161_soybean_2019,1,soybean,2019-01-04,2019-04-14,100
Uruguay_DUP4_farm4_field167_soybean_2019,1,soybean,2019-01-06,2019-04-23,107
Uruguay_DUP4_farm4_field93_soybean_2021,1,soybean,2021-01-03,2021-05-10,127
Uruguay_DUP4_farm5_field170_soybean_2018,1,soybean,2017-12-27,2018-03-28,91
Uruguay_DUP4_farm5_field172_soybean_2018,1,soybean,2017-12-27,2018-04-04,98
Uruguay_DUP4_farm7_field195_soybean_2018,1,soybean,2017-12-25,2018-04-05,101
Uruguay_DUP4_farm7_field196_soybean_2018,1,soybean,2017-12-25,2018-05-14,140
Uruguay_DUP4_farm7_field214_soybean_2018,1,soybean,2017-12-25,2018-05-16,142
Uruguay_DUP4_farm7_field215_soybean_2018,1,soybean,2017-12-25,2018-04-19,115
Uruguay_DUP4_farm7_field220_soybean_2018,1,soybean,2017-12-25,2018-04-17,113
Uruguay_DUP4_farm7_field227_soybean_2019,1,soybean,2018-12-25,2019-05-03,129
Uruguay_DUP4_farm8_field235_soybean_2019,1,soybean,2019-01-04,2019-04-21,107
Uruguay_DUP4_farm8_field237_soybean_2019,1,soybean,2019-01-04,2019-04-23,109
Uruguay_DUP4_farm8_field244_soybean_2021,1,soybean,2021-01-03,2021-05-14,131
Uruguay_DUP4_farm8_field247_soybean_2019,1,soybean,2019-01-04,2019-04-08,94
Uruguay_DUP4_farm8_field253_soybean_2019,1,soybean,2019-01-01,2019-04-22,111
Uruguay_DUP4_farm8_field256_soybean_2019,1,soybean,2019-01-01,2019-04-22,111
Uruguay_DUP4_farm9_field273_soybean_2018,1,soybean,2017-12-22,2018-05-23,152
Uruguay_DUP4_farm9_field275_soybean_2018,1,soybean,2017-12-22,2018-05-25,154
Argentina_DUP1_farm11_field106_soybean_2024,2,soybean,2024-01-19,2024-04-20,92
Argentina_DUP1_farm15_field126_soybean_2018,2,soybean,2018-01-10,2018-04-04,84
Argentina_DUP1_farm15_field129_soybean_2018,2,soybean,2018-02-14,2018-03-13,27
